f_01,f_02,f_03,f_04,f_05,f_06,f_07,f_08,f_09,f_10,f_11,f_12,res,level
0.003774392,0.117551051,0.002405239,0.015171377,0.317444844,0.011812862,0.008520475,0.004767054,0.010079033,0.491020565,0.002713324,0.014739783,a,1
0.001346245,0.033751183,0.001437514,0.007693094,0.274028952,0.018860776,0.006943685,0.009130803,0.025609848,0.585688925,0.002714281,0.032794693,a,1
0.002229696,0.035671381,0.004865878,0.00450647,0.525352937,0.028550372,0.005636618,0.004886003,0.030094116,0.290275387,0.00278708,0.065144062,a,1
0.003342042,0.050897862,0.006309303,0.007635754,0.230752654,0.02551622,0.007620742,0.007518744,0.023394357,0.613922848,0.008002236,0.01508724,a,1
0.006462276,0.071079233,0.002817871,0.006898544,0.463926704,0.014153298,0.011981693,0.004016378,0.043645944,0.342669886,0.001634069,0.030714106,a,1
0.003736684,0.102546507,0.005779546,0.012331928,0.378908812,0.022688318,0.01779506,0.005344183,0.074180865,0.260473916,0.007882069,0.108332114,a,1
0.00317929,0.097903087,0.004070781,0.010103035,0.389674094,0.037180559,0.012231322,0.010335399,0.017337487,0.395394684,0.005216267,0.017373996,a,1
0.000817789,0.041202891,0.002057471,0.005199455,0.363884201,0.034735312,0.005020058,0.008464284,0.018281419,0.511750844,0.003202527,0.005383749,a,1
0.006297016,0.054831315,0.009547389,0.009253825,0.312503405,0.142061211,0.041032347,0.007607763,0.024868806,0.350474637,0.005223548,0.036298739,a,1
0.007633411,0.060921233,0.009393258,0.024121945,0.320059248,0.03806876,0.015430775,0.011097542,0.022047312,0.458836176,0.008194531,0.02419581,a,1
0.004145337,0.168164504,0.017854678,0.00687084,0.257775655,0.029129611,0.006623959,0.008374909,0.032702641,0.412076344,0.017139192,0.039142329,a,1
0.005326829,0.099463643,0.012145196,0.022875109,0.384335832,0.043434974,0.012395916,0.009283361,0.030103034,0.320527342,0.009905667,0.050203095,a,1
0.002703772,0.116055637,0.007684692,0.014829668,0.292082259,0.037598232,0.015164681,0.010562734,0.015793163,0.467913782,0.005019955,0.014591425,a,1
0.005328889,0.081169501,0.00857661,0.030927217,0.436290315,0.078141792,0.021770672,0.014255116,0.029531165,0.23273085,0.010276963,0.051000911,a,1
0.003378532,0.095648673,0.002988936,0.007139084,0.535525574,0.031895563,0.006027586,0.008644794,0.040841677,0.217580296,0.003210051,0.047119236,a,1
0.00207009,0.048597136,0.001902114,0.007677345,0.32162476,0.035313231,0.010577519,0.007458119,0.015428298,0.534246292,0.002907878,0.012197219,a,1
0.004744544,0.095532466,0.009844732,0.004501856,0.160154096,0.015537475,0.009778555,0.008453833,0.040729369,0.598532705,0.005383802,0.046806568,a,1
0.001628238,0.099079906,0.00214602,0.008437996,0.240771636,0.031529423,0.008895363,0.013415626,0.024307023,0.561829207,0.002996642,0.004962919,a,1
0.013229049,0.111223189,0.014810843,0.003545196,0.133487498,0.025793153,0.011169035,0.013616906,0.030394299,0.590111651,0.026706158,0.025913023,a,1
0.002955862,0.204096622,0.008248342,0.02476897,0.527299602,0.062262336,0.013667683,0.010704168,0.027332589,0.089925171,0.00245299,0.026285665,a,1
0.001971731,0.052393944,0.002929175,0.002617805,0.015376702,0.013950813,0.011803532,0.008738878,0.016575062,0.859962776,0.006616438,0.007063143,a,1
0.003496809,0.166973653,0.010031444,0.008465691,0.352556747,0.01395788,0.007105682,0.004323748,0.015957809,0.283379807,0.00475568,0.12899505,a,1
0.001741123,0.071098925,0.003376747,0.006425478,0.218809599,0.029242675,0.004270612,0.008809344,0.022474448,0.621232402,0.002904463,0.009614183,a,1
0.002976216,0.272229344,0.005190981,0.00350602,0.311815791,0.018566595,0.038013441,0.005366343,0.021170524,0.289724394,0.003034025,0.028406324,a,1
0.001509629,0.198114299,0.00647437,0.002538064,0.166074126,0.005058036,0.026077213,0.002997131,0.006480328,0.56352516,0.002984067,0.018167577,a,1
0.001412318,0.301129202,0.012335582,0.006843766,0.08108629,0.009257794,0.030244583,0.00630218,0.004309095,0.534900995,0.003133612,0.009044583,a,1
0.003562259,0.29807585,0.018747503,0.006788961,0.242785219,0.015076226,0.010152576,0.005872883,0.01884779,0.35420607,0.005133387,0.020751274,a,1
0.001110022,0.167206358,0.008355049,0.003819243,0.184433808,0.008819183,0.035263662,0.003290551,0.019207017,0.494696311,0.00279732,0.071001477,a,1
0.004638366,0.231249777,0.011378862,0.007266335,0.308523344,0.015747465,0.03955233,0.015620206,0.071884365,0.12382313,0.004666125,0.165649697,a,1
0.005222603,0.240246965,0.019617826,0.006373382,0.212872906,0.017985975,0.021883404,0.010259083,0.045967498,0.288410066,0.004140741,0.12701955,a,1
0.003032611,0.235856152,0.051206123,0.009707948,0.140574075,0.007884674,0.002989816,0.002759504,0.009386663,0.518236889,0.006098343,0.012267203,a,1
0.002984738,0.32937909,0.032325541,0.008337839,0.204293927,0.020689394,0.034791265,0.005358795,0.008878333,0.329519614,0.004788211,0.018653254,a,1
0.000915801,0.161786435,0.014072795,0.002873555,0.157861796,0.012737919,0.047060876,0.003593246,0.014581934,0.513782642,0.002115573,0.068617427,a,1
0.002867979,0.168830386,0.005864435,0.008071012,0.182414571,0.019758766,0.019370431,0.008461555,0.019509498,0.474568022,0.004106623,0.086176722,a,1
0.001955968,0.315902602,0.013051808,0.006172256,0.170554534,0.016284109,0.010477739,0.00634879,0.037555616,0.376891676,0.006088455,0.038716446,a,1
0.004721668,0.195138749,0.018379645,0.004908765,0.105862285,0.015877542,0.034328192,0.006076266,0.023080203,0.53395763,0.004538069,0.053130988,a,1
0.003231208,0.243912684,0.038825341,0.005751916,0.109335987,0.009632704,0.023034906,0.011423815,0.030102683,0.428717328,0.003271822,0.092759607,a,1
0.004899249,0.187094274,0.059153244,0.004798315,0.29846101,0.03241713,0.033132513,0.006062125,0.013051705,0.338759866,0.00212662,0.020043948,a,1
0.00277267,0.2720606,0.042529603,0.007547936,0.270320759,0.014576996,0.017801692,0.007710739,0.010725658,0.332641889,0.003418075,0.017893383,a,1
0.002724187,0.534860702,0.012216491,0.0458799,0.051295483,0.014827257,0.010861795,0.006085114,0.028112591,0.218278896,0.006069266,0.06878832,a,1
0.006763175,0.187745997,0.026602536,0.006235768,0.136535626,0.008051486,0.02011865,0.013928278,0.013189105,0.517228581,0.004500054,0.059100743,a,1
0.001997156,0.392516334,0.008307553,0.021167051,0.032674449,0.007753136,0.006743132,0.005450008,0.010149287,0.467801403,0.004178146,0.041262344,a,1
